"num","pos","player.x","player.y","club","team","league","total","player_id","dist","check_needed"
207,"D","MICHAEL FORBES","MICHAEL ROSE","Northampton","Salford","L2",2,68651,0.103174603174603,TRUE
208,"D","MILOS KERKEZ","MILOS KERKEZ","Liverpool","Liverpool","PL",2,141919,0,FALSE
209,"D","MURILLO","MURILLO","Nottingham Forest","Nottingham Forest","PL",2,159346,0,FALSE
210,"D","NECO WILLIAMS","NECO WILLIAMS","Nottingham Forest","Nottingham Forest","PL",2,123801,0,FALSE
211,"D","NESTA GUINNESS-WALKER","SVANTE INGELSSON","Northampton","Stoke","CH",2,87214,0.271825396825397,TRUE
212,"D","NICOLO SAVONA","NICOLO SAVONA","Nottingham Forest","Nottingham Forest","PL",2,145391,0,FALSE
213,"D","NIGEL LONWIJK","NIGEL LONWIJK","Luton","Wolves","CH",2,134162,0,FALSE
214,"D","OLIVER SONNE","OLIVER SONNE","Burnley","Burnley","CH",2,140984,0,FALSE
215,"D","OLLIE TURTON","OLIVER TURTON","Salford","Salford","L2",2,54530,0.13966588966589,FALSE
216,"D","PEDRO PORRO","PEDRO PORRO","Tottenham","Tottenham","PL",2,109228,0,FALSE
217,"D","PHILLIP CHINEDU","PHILLIP CHINEDU","Barnet","Leyton Orient","L1",2,191775,0,FALSE
218,"D","PIERCE SWEENEY","PIERCE SWEENEY","Exeter","Cheltenham","L2",2,64230,0,FALSE
219,"D","REAGAN OGLE","REGAN POOLE","Oldham","Portsmouth","CH",2,78006,0.158249158249158,TRUE
220,"D","REECE JAMES","REECE JAMES","Chelsea","Rotherham","L2",2,70735,0,FALSE
221,"D","REECE JAMES","REECE JAMES","Chelsea","Chelsea","PL",2,99408,0,FALSE
222,"D","REECE JAMES","REECE JAMES","Rotherham","Rotherham","L2",1,70735,0,FALSE
223,"D","REECE JAMES","REECE JAMES","Rotherham","Chelsea","PL",1,99408,0,FALSE
224,"D","REECE STAUNTON","REECE STAUNTON","Grimsby","Grimsby","L2",2,108938,0,FALSE
225,"D","RICARDO PEREIRA","RICARDO PEREIRA","Leicester","Leicester","L1",2,64086,0,FALSE
226,"D","RICO LEWIS","RICO LEWIS","Manchester City","Manchester City","PL",2,144394,0,FALSE
227,"D","ROBBIE CUNDY","ROBBIE CUNDY","Cheltenham","Cheltenham","L2",2,86067,0,FALSE
228,"D","RONAN KPAKIO","RONAN KPAKIO","Cardiff","Cardiff","CH",2,196409,0,FALSE
229,"D","RUBEN DIAS","RUBEN DIAS","Manchester City","Manchester City","PL",2,90383,0,FALSE
230,"D","RYAN FALLOWFIELD","RYAN FALLOWFIELD","York","York","L2",2,80701,0,FALSE
231,"D","RYAN SWEENEY","RYAN SWEENEY","Mansfield","Mansfield","L1",2,79065,0,FALSE
232,"D","RYAN TAFAZOLLI","RYAN TAFAZOLLI","Swindon","Swindon","L2",2,52468,0,FALSE
233,"D","RYAN YATES","RYAN YATES","Nottingham Forest","Nottingham Forest","PL",2,95788,0,FALSE
234,"D","SAM CURTIS","SAM CURTIS","Chesterfield","Sheffield United","CH",2,144733,0,FALSE
235,"D","SAM SHERRING","SAM SHERRING","Cheltenham","Rochdale","L2",2,134422,0,FALSE
236,"D","SAM STUBBS","SAM STUBBS","Shrewsbury","Shrewsbury","L2",2,100007,0,FALSE
237,"D","SHANE MCLOUGHLIN","SHANE MCLOUGHLIN","Cambridge","Cambridge","L1",2,89817,0,FALSE
238,"D","SVEN BOTMAN","SVEN BOTMAN","Newcastle","Newcastle","PL",2,112740,0,FALSE
239,"D","TAYO EDUN","TAYO EDUN","Stockport","Stockport","L1",2,94197,0,FALSE
240,"D","TOM HAMER","TOM HAMER","Lincoln","Lincoln","CH",2,107534,0,FALSE
241,"D","TOSIN ADARABIOYO","TOSIN ADARABIOYO","Chelsea","Chelsea","PL",2,89269,0,FALSE
242,"D","TRAI HUME","TRAI HUME","Sunderland","Sunderland","PL",2,122137,0,FALSE
243,"D","UDOKA GODWIN-MALIFE","UDOKA GODWIN-MALIFE","Burton","Reading","L1",2,109597,0,FALSE
244,"D","WILL AIMSON","WILL AIMSON","Wigan","Salford","L2",2,74874,0,FALSE
245,"D","WILL FISH","WILL FISH","Cardiff","Cardiff","CH",2,125652,0,FALSE
246,"D","WILL SUTTON","WILL SUTTON","Oldham","Oldham","L2",2,134165,0,FALSE
247,"D","ZAK SWANSON","ZAK SWANSON","Portsmouth","Portsmouth","CH",2,124896,0,FALSE
248,"D","ZECH MEDLEY","ZECH MEDLEY","Bromley","York","L2",2,116138,0,FALSE
249,"D","AARON HICKEY","AARON HICKEY","Brentford","Brentford","PL",1,117826,0,FALSE
250,"D","ADAM LEWIS","AARON LEWIS","Chesterfield","Mansfield","L1",1,96407,0.157575757575758,TRUE
251,"D","ADRIEN TRUFFERT","ADRIEN TRUFFERT","Bournemouth","Bournemouth","PL",1,132103,0,FALSE
252,"D","AKIN FAMEWO","AKIN FAMEWO","Hull","Bolton","CH",1,94745,0,FALSE
253,"D","ALEX BANGURA","ALEX BANGURA","Middlesbrough","Middlesbrough","CH",1,140157,0,FALSE
254,"D","ALEX COCHRANE","ALEX COCHRANE","Birmingham","Birmingham","CH",1,100072,0,FALSE
255,"D","ALEX JIMENEZ","RAUL JIMENEZ","Bournemouth","Wolves","CH",1,69582,0.111111111111111,TRUE
256,"D","ALFIE JONES","ALFIE JONES","Middlesbrough","Middlesbrough","CH",1,93986,0,FALSE
257,"D","ALFIE KILGOUR","ALFIE KILGOUR","Bristol Rovers","Bristol Rovers","L2",1,87981,0,FALSE
258,"D","ANDERS HAGELSKJAER","ANDERS HAGELSKJAER","Wycombe","Wycombe","L1",1,121826,0,FALSE
259,"D","ANDREW HUGHES","ANDREW HUGHES","Preston","Preston","CH",1,57881,0,FALSE
260,"D","ANDY SMITH","ANDY SMITH","Gillingham","Gillingham","L2",1,129219,0,FALSE
261,"D","ANTHONY GLENNON","ANTHONY GLENNON","Newport","Newport","L2",1,120059,0,FALSE
262,"D","ANTHONY O'CONNOR","ANTHONY NUNEZ","Harrogate","Mansfield","L1",1,193133,0.201923076923077,TRUE
263,"D","ANTONEE ROBINSON","ANTONEE ROBINSON","Fulham","Fulham","PL",1,85572,0,FALSE
264,"D","AXEL DISASI","AXEL DISASI","West Ham","Chelsea","PL",1,106134,0,FALSE
265,"D","AXEL TUANZEBE","AXEL TUANZEBE","Burnley","Burnley","CH",1,88881,0,FALSE
266,"D","BAILY CARGILL","BAILY CARGILL","Mansfield","Mansfield","L1",1,72997,0,FALSE
